topic_id,emotions,0
0,anger,3
0,fear,8
0,joy,20
0,love,6
0,sadness,11
0,surprise,2
10,fear,1
10,sadness,1
109,joy,2
12,joy,3
12,love,1
128,anger,1
13,fear,1
13,joy,2
13,sadness,1
14,anger,1
14,fear,1
14,sadness,1
15,anger,1
15,joy,1
16,anger,1
16,love,1
16,surprise,1
17,love,1
17,sadness,2
19,joy,2
19,love,1
19,sadness,2
19,surprise,1
20,anger,2
20,joy,5
21,joy,3
23,joy,1
23,sadness,1
25,fear,1
27,anger,2
27,love,2
286,love,1
3,fear,3
3,joy,1
30,fear,1
303,sadness,2
32,joy,1
33,anger,1
33,fear,1
34,joy,2
34,sadness,1
36,joy,1
36,sadness,1
37,joy,1
37,sadness,1
37,surprise,1
38,anger,1
39,anger,1
39,joy,1
392,joy,1
4,joy,1
4,sadness,1
40,joy,1
40,sadness,1
40,surprise,1
41,joy,1
41,love,1
41,sadness,1
42,joy,2
43,anger,3
43,fear,1
44,anger,1
44,joy,2
45,joy,1
45,love,1
45,sadness,1
47,joy,2
48,anger,1
48,joy,2
49,fear,2
49,joy,2
496,fear,2
5,joy,2
50,fear,1
50,joy,1
51,anger,1
55,joy,5
55,love,1
55,sadness,1
56,joy,2
58,fear,2
58,joy,1
59,fear,1
59,joy,3
59,sadness,1
6,joy,2
6,sadness,2
64,love,1
7,anger,110
7,fear,170
7,joy,427
7,love,98
7,sadness,206
7,surprise,55
73,love,1
73,surprise,1
9,joy,2
